rates_monthly_id,borough_id,month,price
1,1,January,94.02
2,1,February,93.64
3,1,March,93.72
4,1,April,94.17
5,1,May,95.79
6,1,June,96.37
7,1,July,96.50
8,1,August,96.52
9,1,September,96.39
10,1,October,96.77
11,1,November,96.91
12,1,December,97.33
13,2,January,120.19
14,2,February,120.73
15,2,March,121.61
16,2,April,122.52
17,2,May,124.66
18,2,June,125.20
19,2,July,125.51
20,2,August,125.33
21,2,September,125.37
22,2,October,125.51
23,2,November,125.49
24,2,December,125.85
25,3,January,183.84
26,3,February,185.13
27,3,March,188.97
28,3,April,195.32
29,3,May,198.00
30,3,June,198.85
31,3,July,198.57
32,3,August,198.23
33,3,September,200.00
34,3,October,199.82
35,3,November,199.76
36,3,December,206.04
37,4,January,101.66
38,4,February,102.71
39,4,March,104.09
40,4,April,104.91
41,4,May,106.76
42,4,June,107.25
43,4,July,107.48
44,4,August,107.23
45,4,September,106.86
46,4,October,106.90
47,4,November,106.97
48,4,December,107.16
49,5,January,111.77
50,5,February,111.47
51,5,March,112.17
52,5,April,112.44
53,5,May,114.53
54,5,June,115.25
55,5,July,115.45
56,5,August,115.34
57,5,September,115.45
58,5,October,115.65
59,5,November,116.01
60,5,December,116.79
